,product_id,product_name,seller_id,seller_name,seller_product_id,primary_category_name,brand_id,brand_name,discount,discount_rate,original_price,price,rating_average,review_count,shipping_code,shipping_text,completion_time
27,177968160,Chuột Logitech MX Master 3 (Màu đen) không dây Bluetooth/Wireless - Hàng Chính Hãng ,915,Nova Computer,185435275,Chuột Văn Phòng Không Dây,18984,Logitech,100000,5,2190000,2090000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
28,217085368,Chuột không dây Bluetooth Logitech MX Anywhere 2S - Hàng chính hãng,333,Trọng Ân audio,249354275,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,1090000,1090000,0.0,0,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:01.348564
29,217085384,Chuột không dây Bluetooth Logitech MX Master 2S - Hàng chính hãng,162514,Long Hưng TechZone,217085385,Chuột Văn Phòng Không Dây,18984,Logitech,670000,29,2299000,1629000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
30,151575793,Chuột Không Dây Bluetooth RAPOO MT750S Tối Đa 4 Thiết Bị 3 Chế Độ Kết Nối - Hàng Chính Hãng,280245,RAPOO Official Store,201845852,Chuột Văn Phòng Không Dây,20271,Rapoo,541000,39,1390000,849000,4.0,2,tikinow,Giao siêu tốc 2H,2023-05-27 00:38:01.348564
31,151570429,Chuột Không Dây Bluetooth RAPOO MT550 Tối Đa 4 Thiết Bị 3 Chế Độ Kết Nối - Hàng Chính Hãng,280245,RAPOO Official Store,174865152,Chuột Văn Phòng Không Dây,20271,Rapoo,200000,29,699000,499000,4.8,22,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
32,76558983,Chuột Không Dây Sạc Pin Máy Tính Sidotech M2S Chống Ồn Thiết Kế Công Thái Học Đèn LED RGB Thuộc Dòng Chuột Không Dây Gaming Logitech Fuhlen Xiaomi Apple Genius Dell Phù Hợp Cho Laptop Pc TV - Hàng Chính Hãng,117888,Sido Tech Official Store,76558987,Chuột Văn Phòng Không Dây,777069,SIDOTECH,2000,2,119000,117000,4.5,39,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
33,207733694,Chuột không dây A4Tech FStyler FG30S Silent Wireless 2.4GHz - Hàng chính hãng,8948,A4Tech Official Store,207733706,Chuột Văn Phòng Không Dây,48051,A4Tech,0,0,250000,250000,5.0,1,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
34,56669854,Chuột Bluetooth HXSJ T36 Ba Chế Độ Bluetooth 3.0 + 5.0 + 2.4G Chuột Không Dây Thiết Kế Không Gây Ồn 1600 DPI Quang Có Thể Sạc Lại Chuột Cho PC Máy Tính Xách Tay - Hàng chính hãng,4997,HXSJ Official Store,56669855,Chuột Văn Phòng Không Dây,302375,HXSJ,112000,32,349000,237000,4.5,62,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:01.348564
35,147806456," Chuột Trackball bi đỏ không dây, kết nối 3 phương thức ELECOM M-XPT1MRBK - Hàng chính hãng",207195,ELECOM store,147806457,Chuột Văn Phòng Không Dây,19072,Elecom,328500,15,2190000,1861500,5.0,4,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
36,35243555,Chuột không dây HP S1000 Plus,915,Nova Computer,157616063,Chuột Văn Phòng Không Dây,17825,HP,20000,8,249000,229000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
37,479097,Chuột Không Dây A4Tech G3.280A - Hàng Chính Hãng,6975,HACHI STORE,22910476,Chuột Văn Phòng Không Dây,48051,A4Tech,49200,26,189000,139800,4.7,25,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
38,122649672,VINETTEAM Chuột Không Dây M1S Không Gây Tiếng Ồn Hiển Thị Pin 2400 DPI Có Thể Sạc Lại Tương Thích Với Máy Tính Llaptop Macbook - Hàng Chính Hãng,5411,vinet shop,124241043,Chuột Văn Phòng Không Dây,312329,VINETTEAM,0,0,495000,495000,2.0,1,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
