,product_id,seller_id,seller_name,seller_level,all_time_quantity_sold,category_id,category_name,day_ago_created,discount,discount_rate,favourite_count,gift_item_title,inventory_status,inventory_type,list_price,quantity_sold,rating_average,review_count,url,configurable_products,1_star_count,1_star_percent,2_star_count,2_star_percent,3_star_count,3_star_percent,4_star_count,4_star_percent,5_star_count,5_star_percent,completion_time
107,204057081,141813,CHOCONGNGHE,NONE,,1838,Chuột Văn Phòng Không Dây,196,0,0,0,0 quà tặng kèm,available,backorder,149000,0,0.0,0,https://tiki.vn/product-p204057081.html?spid=210510849,[],0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:04.848894
108,195212880,212803,Thành Nhân SINCE 1994,OFFICIAL_STORE,,1838,Chuột Văn Phòng Không Dây,284,0,0,0,0 quà tặng kèm,available,backorder,179000,0,0.0,0,https://tiki.vn/product-p195212880.html?spid=195212881,[],0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:06.483637
109,260686095,45223,Bảo Hân Treasures,NONE,,1838,Chuột Văn Phòng Không Dây,5,0,0,0,0 quà tặng kèm,available,backorder,185000,0,0.0,0,https://tiki.vn/product-p260686095.html?spid=260686099,"[[260686096, 'Chuột không dây Newmen F300S (Silent) Đen / Hồng 2.4Ghz - Hàng Chính Hãng - Màu hồng( Hồng)', 'Màu hồng( Hồng)', 185000, 'available'], [260686098, 'Chuột không dây Newmen F300S (Silent) Đen / Hồng 2.4Ghz - Hàng Chính Hãng - Màu đen( Black)', 'Màu đen( Black)', 185000, 'available']]",0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:08.066299
110,73165085,192004,Logitech Official Store,OFFICIAL_STORE,221.0,1815,Thiết Bị Số - Phụ Kiện Số,918,610000,27,0,0 quà tặng kèm,available,instock,2299000,221,5.0,54,https://tiki.vn/product-p73165085.html?spid=105362124,"[[73165090, 'Chuột không dây Bluetooth Logitech MX Anywhere 3 - Màu hồng - Hàng chính hãng', 'Hồng', 1689000, 'available']]",0,0,0,0,0,0,5,9,49,91,2023-05-27 14:13:09.663200
111,102918050,190297,Hàng công nghệ An An,NONE,1.0,1838,Chuột Văn Phòng Không Dây,712,0,0,0,0 quà tặng kèm,available,backorder,169000,1,4.0,1,https://tiki.vn/product-p102918050.html?spid=102918080,"[[102918056, ' Chuột không dây kiểu dáng siêu xe Porsche 3D - Hồng', 'Hồng', 169000, 'available'], [102918060, ' Chuột không dây kiểu dáng siêu xe Porsche 3D - Bạc', 'Bạc', 161000, 'available'], [102918078, ' Chuột không dây kiểu dáng siêu xe Porsche 3D - Đen', 'Đen', 169000, 'available'], [102918072, ' Chuột không dây kiểu dáng siêu xe Porsche 3D - Xanh', 'Xanh', 169000, 'available'], [102918082, ' Chuột không dây kiểu dáng siêu xe Porsche 3D - Đỏ', 'Đỏ', 169000, 'available']]",0,0,0,0,0,0,1,100,0,0,2023-05-27 14:13:11.250465
112,109179445,189352,Quân Fashion Store,NONE,,1838,Chuột Văn Phòng Không Dây,689,0,0,0,0 quà tặng kèm,available,backorder,279000,0,0.0,0,https://tiki.vn/product-p109179445.html?spid=109179472,"[[109179468, 'Chuột Không Dây O3 - Xám', 'Xám', 279000, 'available'], [109179455, 'Chuột Không Dây O3 - Xanh', 'Xanh', 279000, 'available'], [109179462, 'Chuột Không Dây O3 - Bạc', 'Bạc', 279000, 'available'], [109179473, 'Chuột Không Dây O3 - Vàng', 'Vàng', 279000, 'available']]",0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:12.839039
113,109179669,189352,Quân Fashion Store,NONE,,1838,Chuột Văn Phòng Không Dây,690,0,0,0,0 quà tặng kèm,available,backorder,269000,0,0.0,0,https://tiki.vn/product-p109179669.html?spid=109179690,"[[109179688, 'Chuột Văn Phòng KHông Dây P3.60 (Chuột Sạc ) - Đen', 'Đen', 269000, 'available'], [109179684, 'Chuột Văn Phòng KHông Dây P3.60 (Chuột Sạc ) - Trắng', 'Trắng', 269000, 'available'], [109179679, 'Chuột Văn Phòng KHông Dây P3.60 (Chuột Sạc ) - Hồng', 'Hồng', 269000, 'available']]",0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:14.414431
114,86297359,174379,Hùng Dũng 68,NONE,4.0,1838,Chuột Văn Phòng Không Dây,784,0,0,0,0 quà tặng kèm,available,backorder,89000,4,5.0,2,https://tiki.vn/product-p86297359.html?spid=86297362,"[[86297363, 'Chuột không dây đa năng - Tặng lót chuột (BH 3 tháng) - Xám', 'Xám', 89000, 'available'], [86297361, 'Chuột không dây đa năng - Tặng lót chuột (BH 3 tháng) - Đen', 'Đen', 89000, 'available']]",0,0,0,0,0,0,0,0,2,100,2023-05-27 14:13:15.989278
115,101280008,165536,DDLstore,TRUSTED_STORE,81.0,1838,Chuột Văn Phòng Không Dây,0,73000,35,0,0 quà tặng kèm,available,backorder,210000,81,4.5,26,https://tiki.vn/product-p101280008.html?spid=101280016,"[[101280015, 'Chuột Văn Phòng Không Dây Cao Cấp IMICE G-1600 Silent Giảm Ồn 90% Bộ Thu Nano Tự Động Kết Nối  Hoạt Động Chính Xác Mượt Mà Khoảng Cách 10m Tiết Kiệm Pin Thông Minh Thay Đổi Nhanh  Độ Phân Giải 800/1200/1600DPI - Hàng Chính Hãng - Màu Xanh Dương', 'Màu Xanh Dương', 137000, 'available']]",1,3,0,0,3,11,3,12,19,74,2023-05-27 14:13:17.682573
116,116893238,11988,Thiên Thảo Computer,NONE,1.0,1838,Chuột Văn Phòng Không Dây,654,0,0,0,0 quà tặng kèm,available,backorder,119000,1,0.0,0,https://tiki.vn/product-p116893238.html?spid=116893241,[],0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:19.813827
